,Question Identifier,Grade level,Claim,Target,Type,Task model,Variant,Sub-variant,Prompt feature #,Prompt features,Stimulus #,Stimulus,Owner,Questions/comments/notes,# of drafted questions,# of approved questions,# of deployed questions,Exercise name,Recommend adding to exercise,Exercise Link
8.1.B.2.SR.1,8.1.B.2.SR.1.e,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,B - Work with radicals and integer exponents,SR,2.SR,1,e,1,The student is prompted to identify the solution using the cube root symbols to an equation of the form x^3 = p,1,The student is presented with a question that is pure (not real-world context). The equation is given. The number p is positive and rational but should not be a perfect square or perfect cube. A calculator should not be available and irrational numbers are not simplified. Negative solutions can be considered for square roots as the context allows.,Barry,,,,,,,
8.1.B.2.SR.1,8.1.B.2.SR.1.f,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,B - Work with radicals and integer exponents,SR,2.SR,1,f,1,The student is prompted to identify the solution using the cube root symbols to an equation of the form x^3 = p,1,The student is presented with a question that is pure (not real-world context). The equation needs to be constructed by the student based on a verbal description or a figure. The number p is positive and rational but should not be a perfect square or perfect cube. A calculator should not be available and irrational numbers are not simplified.,Barry,,,,,,,
8.1.B.2.SR.1,8.1.B.2.SR.1.g,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,B - Work with radicals and integer exponents,SR,2.SR,1,g,1,The student is prompted to identify the solution using the cube root symbols to an equation of the form x^3 = p,1,The student is presented with a question that is in real-world context. The equation is given. The number p is positive and rational but should not be a perfect square or perfect cube. A calculator should not be available and irrational numbers are not simplified. ,Barry,,,,,,,
8.1.B.2.SR.1,8.1.B.2.SR.1.h,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,B - Work with radicals and integer exponents,SR,2.SR,1,h,1,The student is prompted to identify the solution using the cube root symbols to an equation of the form x^3 = p,1,The student is presented with a question that is in real-world context. The equation needs to be constructed by the student based on a verbal description or a figure. The number p is positive and rational but should not be a perfect square or perfect cube. A calculator should not be available and irrational numbers are not simplified. ,Barry,,,,,,,
8.1.B.3.SR.1,8.1.B.3.SR.1.,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,B - Work with radicals and integer exponents,SR,3.SR,1,,1,The student is prompted to identify the square root of a small perfect square,1,The student is presented with a question that is in real-world context. The equation is given. The number p is positive and rational but should not be a perfect square or perfect cube. A calculator should not be available and irrational numbers are not simplified. Negative solutions can be considered for square roots as the context allows.,,,,,,,,
8.1.B.3.SR.1,8.1.B.3.SR.1.a,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,B - Work with radicals and integer exponents,SR,3.SR,1,a,1,The student is prompted to identify the solution to an equation of the form x^2 = p,1,The student is presented with a question that is pure (not real-world context). The equation is given. The number p is positive and rational but should not be a perfect square or perfect cube. A calculator should not be available and irrational numbers are not simplified. Negative solutions can be considered for square roots as the context allows.,Ryan,,,,,,,
8.1.B.3.SR.1,8.1.B.3.SR.1.b,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,B - Work with radicals and integer exponents,SR,3.SR,1,b,1,The student is prompted to identify the solution to an equation of the form x^2 = p,1,The student is presented with a question that is pure (not real-world context). The equation needs to be constructed by the student based on a verbal description or a figure. The number p is positive and rational but should not be a perfect square or perfect cube. A calculator should not be available and irrational numbers are not simplified.,Ryan ,,,,,,,
8.1.B.3.SR.1,8.1.B.3.SR.1.c,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,B - Work with radicals and integer exponents,SR,3.SR,1,c,1,The student is prompted to identify the solution to an equation of the form x^2 = p,1,The student is presented with a question that is in real-world context. The equation is given. The number p is positive and rational but should not be a perfect square or perfect cube. A calculator should not be available and irrational numbers are not simplified. ,Ryan,,,,,,,
8.1.B.3.SR.1,8.1.B.3.SR.1.d,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,B - Work with radicals and integer exponents,SR,3.SR,1,d,1,The student is prompted to identify the solution to an equation of the form x^2 = p,1,The student is presented with a question that is in real-world context. The equation needs to be constructed by the student based on a verbal description or a figure. The number p is positive and rational but should not be a perfect square or perfect cube. A calculator should not be available and irrational numbers are not simplified. ,,,,,,,,
8.1.B.3.SR.1,8.1.B.3.SR.1.e,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,B - Work with radicals and integer exponents,SR,3.SR,1,e,1,The student is prompted to identify the solution to an equation of the form x^3 = p. ,1,The student is presented with a question that is pure (not real-world context). The equation is given. The number p is positive and rational but should not be a perfect square or perfect cube. A calculator should not be available and irrational numbers are not simplified. Negative solutions can be considered for square roots as the context allows.,,,,,,,,
8.1.B.3.SR.1,8.1.B.3.SR.1.f,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,B - Work with radicals and integer exponents,SR,3.SR,1,f,1,The student is prompted to identify the solution to an equation of the form x^3 = p. ,1,The student is presented with a question that is pure (not real-world context). The equation needs to be constructed by the student based on a verbal description or a figure. The number p is positive and rational but should not be a perfect square or perfect cube. A calculator should not be available and irrational numbers are not simplified.,,,,,,,,
8.1.B.3.SR.1,8.1.B.3.SR.1.g,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,B - Work with radicals and integer exponents,SR,3.SR,1,g,1,The student is prompted to identify the solution to an equation of the form x^3 = p. ,1,The student is presented with a question that is in real-world context. The equation is given. The number p is positive and rational but should not be a perfect square or perfect cube. A calculator should not be available and irrational numbers are not simplified. ,,,,,,,,
8.1.B.3.SR.1,8.1.B.3.SR.1.h,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,B - Work with radicals and integer exponents,SR,3.SR,1,h,1,The student is prompted to identify the solution to an equation of the form x^3 = p. ,1,The student is presented with a question that is in real-world context. The equation needs to be constructed by the student based on a verbal description or a figure. The number p is positive and rational but should not be a perfect square or perfect cube. A calculator should not be available and irrational numbers are not simplified. ,,,,,,,,
8.1.B.3.SR.1,8.1.B.3.SR.1.i,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,B - Work with radicals and integer exponents,SR,3.SR,1,i,1,The student is prompted to identify the square root of a small perfect square,1,"The student is presented with a question that may be pure or in context. The equation may be given, or it may need to be constructed by the student based on a verbal description or a figure. A calculator should not be available and irrational numbers are not simplified. Negative solutions can be considered for square roots as the context allows.",,,,,,,,
8.1.B.3.SR.1,8.1.B.3.SR.1.j,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,B - Work with radicals and integer exponents,SR,3.SR,1,j,1,The student is prompted to identify the square root of a small perfect square,1,The student is presented with a question that is pure (not real-world context). The equation is given. The number p is positive and rational but should not be a perfect square or perfect cube. A calculator should not be available and irrational numbers are not simplified. Negative solutions can be considered for square roots as the context allows.,,,,,,,,
8.1.B.3.SR.1,8.1.B.3.SR.1.k,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,B - Work with radicals and integer exponents,SR,3.SR,1,k,1,The student is prompted to identify the square root of a small perfect square,1,The student is presented with a question that is pure (not real-world context). The equation needs to be constructed by the student based on a verbal description or a figure. The number p is positive and rational but should not be a perfect square or perfect cube. A calculator should not be available and irrational numbers are not simplified. Negative solutions can be considered for square roots as the context allows.,,,,,,,,
8.1.B.3.SR.1,8.1.B.3.SR.1.m,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,B - Work with radicals and integer exponents,SR,3.SR,1,m,1,The student is prompted to identify the cube root of a small perfect cube,1,The student is presented with a question that is in real-world context. The equation needs to be constructed by the student based on a verbal description or a figure. The number p is positive and rational but should not be a perfect square or perfect cube. A calculator should not be available and irrational numbers are not simplified. Negative solutions can be considered for square roots as the context allows.,,,,,,,,
8.1.B.3.SR.1,8.1.B.3.SR.1.n,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,B - Work with radicals and integer exponents,SR,3.SR,1,n,1,The student is prompted to identify the cube root of a small perfect cube,1,The student is presented with a question that is in real-world context. The equation needs to be constructed by the student based on a verbal description or a figure. The number p is positive and rational but should not be a perfect square or perfect cube. A calculator should not be available and irrational numbers are not simplified. Negative solutions can be considered for square roots as the context allows.,,,,,,,,
8.1.B.3.SR.1,8.1.B.3.SR.1.o,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,B - Work with radicals and integer exponents,SR,3.SR,1,o,1,The student is prompted to identify the cube root of a small perfect cube,1,The student is presented with a question that is in real-world context. The equation needs to be constructed by the student based on a verbal description or a figure. The number p is positive and rational but should not be a perfect square or perfect cube. A calculator should not be available and irrational numbers are not simplified. Negative solutions can be considered for square roots as the context allows.,,,,,,,,
8.1.B.3.SR.1,8.1.B.3.SR.1.p,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,B - Work with radicals and integer exponents,SR,3.SR,1,p,1,The student is prompted to identify the cube root of a small perfect cube,1,The student is presented with a question that is in real-world context. The equation needs to be constructed by the student based on a verbal description or a figure. The number p is positive and rational but should not be a perfect square or perfect cube. A calculator should not be available and irrational numbers are not simplified. Negative solutions can be considered for square roots as the context allows.,,,,,,,,
8.1.B.3.SR.2,8.1.B.3.SR.2.a,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,B - Work with radicals and integer exponents,SR,3.SR,2,a,1,The student is prompted to identify the solution to an equation of the form x^2 = p,2,The student is presented with a perfect square less than or equal to 400. A calculator should not be available,,,,,,,,
8.1.B.3.SR.2,8.1.B.3.SR.2.b,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,B - Work with radicals and integer exponents,SR,3.SR,2,b,1,The student is prompted to identify the solution to an equation of the form x^3 = p. ,2,The student is presented with a perfect cube less than or equal to 1000. A calculator should not be available,,,,,,,,
8.1.B.3.SR.2,8.1.B.3.SR.2.c,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,B - Work with radicals and integer exponents,SR,3.SR,2,c,1,The student is prompted to identify the square root of a small perfect square,2,The student is presented with a perfect square less than or equal to 400. A calculator should not be available,,,,,,Covered by: Square roots,,http://sandcastle.khanacademy.org/media/castles/origin:master/exercises/square_roots.html
8.1.B.3.SR.2,8.1.B.3.SR.2.d,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,B - Work with radicals and integer exponents,SR,3.SR,2,d,1,The student is prompted to identify the cube root of a small perfect cube,2,The student is presented with a perfect cube less than or equal to 1000. A calculator should not be available,,,,,,Covered by: Cube roots,,http://sandcastle.khanacademy.org/media/castles/origin:master/exercises/cube_roots.html
8.1.B.4.CR.1,8.1.B.4.CR.1.,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,B - Work with radicals and integer exponents,CR,4.CR,1,,1,The student is prompted to state how many times larger or smaller one number is than another and explain the method used to determine the answer. Or the student is given a number in the form of a single digit times an integer power of 10 and the number of times larger or smaller than that number another number is and the students is prompted to write the other number,1,The student is presented with a question that may be pure or in context. The numbers should be either very large or very small. The numbers must be written in the form of a single digit times an integer power of 10,,,,,,Related to: Scientific notation,,http://sandcastle.khanacademy.org/media/castles/origin:master/exercises/scientific_notation.html
8.1.B.4.CR.2,8.1.B.4.CR.2.,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,B - Work with radicals and integer exponents,CR,4.CR,2,,1,The student is prompted to state how many times larger or smaller one number is than another and explain the method used to determine the answer. Or the student is given a number in the form of a single digit times an integer power of 10 and the number of times larger or smaller than that number another number is and the students is prompted to write the other number,2,The student is presented with a question that may be pure or in context. The very large or very small number must be written in the form of a isngle digit times an integer power of 10,,,,,,,,
8.1.B.4.SR.1,8.1.B.4.SR.1.a,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,B - Work with radicals and integer exponents,SR,4.SR,1,a,1,The student is prompted to identify approximately how many times larger or smaller one number is than another.,1,The student is presented with a question that is pure (not real-world context). The numbers should be either very large or very small. The numbers must be written in the form of a single digit times an integer power of 10,,,,,,,,
8.1.B.4.SR.1,8.1.B.4.SR.1.b,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,B - Work with radicals and integer exponents,SR,4.SR,1,b,1,The student is prompted to identify approximately how many times larger or smaller one number is than another.,1,The student is presented with a question that is in real-world context. The numbers should be either very large or very small. The numbers must be written in the form of a single digit times an integer power of 10,,,,,,,,
8.1.B.4.SR.1,8.1.B.4.SR.1.c,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,B - Work with radicals and integer exponents,SR,4.SR,1,c,1,The student is given a number in the form of a single digit times an integer power of 10 and the number of times larger or smaller than that number that another number is and the student is prompted to identify the other number,1,The student is presented with a question that is pure (not real-world context). The numbers should be either very large or very small. The numbers must be written in the form of a single digit times an integer power of 10,,,,,,,,
8.1.B.4.SR.1,8.1.B.4.SR.1.d,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,B - Work with radicals and integer exponents,SR,4.SR,1,d,1,The student is given a number in the form of a single digit times an integer power of 10 and the number of times larger or smaller than that number that another number is and the student is prompted to identify the other number,1,The student is presented with a question that is in real-world context. The numbers should be either very large or very small. The numbers must be written in the form of a single digit times an integer power of 10,,,,,,,,
8.1.B.5.CR.1,8.1.B.5.CR.1.,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,B - Work with radicals and integer exponents,CR,5.CR,1,,1,The student is prompted to estimate of a very large or very small number by writing a number in the form of a single digit times an integer power of 10. Or the student is given a number written as a single digit multiplied by an integer power of 10 and is prompted to write the number,1,The student is presented with a very large or very small number in decimal notation,,,,,,,Scientific notation (the exercise has more than one significant figure),http://sandcastle.khanacademy.org/media/castles/origin:master/exercises/scientific_notation.html
8.1.B.5.CR.2,8.1.B.5.CR.2.,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,B - Work with radicals and integer exponents,CR,5.CR,2,,1,The student is prompted to estimate of a very large or very small number by writing a number in the form of a single digit times an integer power of 10. Or the student is given a number written as a single digit multiplied by an integer power of 10 and is prompted to write the number,2,The student is presented with a very large or very small number written as a single digit multiplied by an integer power of 10,,,,,,,,
8.1.B.5.SR.1,8.1.B.5.SR.1.a,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,B - Work with radicals and integer exponents,SR,5.SR,1,a,1,The student is prompted to identify an estimate of a very large or very small number expressed in the form of a single digit multiplied by an integer power of 10.,1,The student is presented with a very large or very small number in decimal notation,,,,,,,,
8.1.B.5.SR.1,8.1.B.5.SR.1.b,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,B - Work with radicals and integer exponents,SR,5.SR,1,b,1,The student is given a number expressed as a single digit multiplied by an integer power of 10 and is prompted to identify the number,1,The student is presented with a very large or very small number in decimal notation,,,,,,,,
8.1.B.5.SR.2,8.1.B.5.SR.2.a,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,B - Work with radicals and integer exponents,SR,5.SR,2,a,1,The student is prompted to identify an estimate of a very large or very small number expressed in the form of a single digit multiplied by an integer power of 10.,2,The student is presented with a very large or very small number written as a single digit multiplied by an integer power of 10,,,,,,,,
8.1.B.5.SR.2,8.1.B.5.SR.2.b,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,B - Work with radicals and integer exponents,SR,5.SR,2,b,1,The student is given a number expressed as a single digit multiplied by an integer power of 10 and is prompted to identify the number,2,The student is presented with a very large or very small number written as a single digit multiplied by an integer power of 10,,,,,,,,
8.1.B.6.CR.1,8.1.B.6.CR.1.,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,B - Work with radicals and integer exponents,CR,6.CR,1,,1,"The student is prompted to solve a problem where operations are performed on numbers expressed in scientific notation or both scientific notation and decimal form. Scientific calculators may not be used on these items, but four-functions calculators may be allowed",1,"The student is presented with numbers in scientific notation, and information is given that informs the student what operations to perform. The question may be pure or in context",,,,,,Covered in: Multiplying and dividing scientific notation,,http://sandcastle.khanacademy.org/media/castles/origin:master/exercises/multiplying_and_dividing_scientific_notation.html
8.1.B.6.CR.2,8.1.B.6.CR.2.,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,B - Work with radicals and integer exponents,CR,6.CR,2,,1,"The student is prompted to solve a problem where operations are performed on numbers expressed in scientific notation or both scientific notation and decimal form. Scientific calculators may not be used on these items, but four-functions calculators may be allowed",2,"The student is presented with numbers in scientific notation and decimal form, and information is given that informs the student what operations to perform. The question may be pure or in context",,,,,,,,
8.1.B.6.SR.1,8.1.B.6.SR.1.a,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,B - Work with radicals and integer exponents,SR,6.SR,1,a,1,"The student is prompted to identify the answer to a problem where operations are performed on numbers expressed in scientific notation or both scientific notation and decimal form. Scientific calculators may not be used on these items, but four-function calculators may be allowed",1,"The student is presented with numbers in sicentific notation, and information is given that informs the student what operations to perform. The questions are pure.",,,,,,Covered in: Multiplying and dividing scientific notation,,http://sandcastle.khanacademy.org/media/castles/origin:master/exercises/multiplying_and_dividing_scientific_notation.html
8.1.B.6.SR.1,8.1.B.6.SR.1.b,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,B - Work with radicals and integer exponents,SR,6.SR,1,b,1,"The student is prompted to identify the answer to a problem where operations are performed on numbers expressed in scientific notation or both scientific notation and decimal form. Scientific calculators may not be used on these items, but four-function calculators may be allowed",1,"The student is presented with numbers in sicentific notation, and information is given that informs the student what operations to perform. The questions are in context.",,,,,,,,
8.1.B.6.SR.2,8.1.B.6.SR.2.a,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,B - Work with radicals and integer exponents,SR,6.SR,2,a,1,"The student is prompted to identify the answer to a problem where operations are performed on numbers expressed in scientific notation or both scientific notation and decimal form. Scientific calculators may not be used on these items, but four-function calculators may be allowed",2,"The student is presented with numbers in scientific notation and decimal form, and information is given that informs the student what operations to perform. The question is pure",,,,,,,,
8.1.B.6.SR.2,8.1.B.6.SR.2.b,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,B - Work with radicals and integer exponents,SR,6.SR,2,b,1,"The student is prompted to identify the answer to a problem where operations are performed on numbers expressed in scientific notation or both scientific notation and decimal form. Scientific calculators may not be used on these items, but four-function calculators may be allowed",2,"The student is presented with numbers in scientific notation and decimal form, and information is given that informs the student what operations to perform. The question is in context",,,,,,,,
8.1.B.7.SR.1,8.1.B.7.SR.1.,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,B - Work with radicals and integer exponents,SR,7.SR,1,,1,The student is prompted to identify appropriate units when measuring very large or very small quantities,1,The student is presented with a measurement situation,,,,,,,Units,http://sandcastle.khanacademy.org/media/castles/origin:master/exercises/units.html
8.1.B.8.CR.1,8.1.B.8.CR.1.,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,B - Work with radicals and integer exponents,CR,8.CR,1,,1,"The student is prompted to write an equivalent number in decimal notation when shown the calculator display of a number in scientific notation (e.g., 6.02E23)",1,The student is presented with the calculator display of a number in scientific notation,,,,,,,Scientific notation,http://sandcastle.khanacademy.org/media/castles/origin:master/exercises/scientific_notation.html
8.1.B.8.SR.1,8.1.B.8.SR.1.,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,B - Work with radicals and integer exponents,SR,8.SR,1,,1,"The student is prompted to identify an equivalent number in decimal notation when shown the calculator display of a number in scientific notation (e.g., 6.02E23)",1,The student is presented with the calculator display of a number in scientific notation,,,,,,,,
8.1.C.1.CR.1,8.1.C.1.CR.1.,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,"C - Understand the connections between proportional relationships, lines, and linear equations",CR,1.CR,1,,1,The student is prompted to describe the proportional relationship represented by a given graph,1,The student is presented with a proportional relationship that is represented graphically,Justin,,,,,Related to: Identifying linear relationships,,http://sandcastle.khanacademy.org/media/castles/origin:master/exercises/interpreting_linear_equations.html
8.1.C.1.SR.1,8.1.C.1.SR.1.a,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,"C - Understand the connections between proportional relationships, lines, and linear equations",SR,1.SR,1,a,1,The student is prompted to identify the graph of a given proportional relationship. ,1,"The student is presented with a proportional relationship that may be represented in a variety of ways, including graphical, algebraic, tabular, and verbal",Justin,,,,,,,
8.1.C.1.SR.1,8.1.C.1.SR.1.b,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,"C - Understand the connections between proportional relationships, lines, and linear equations",SR,1.SR,1,b,1,The student is prompted to identify the graph of a given proportional relationship. ,1,The student is presented with a proportional relationship that is represented algebraically,Justin,,,,,,,
8.1.C.1.SR.1,8.1.C.1.SR.1.c,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,"C - Understand the connections between proportional relationships, lines, and linear equations",SR,1.SR,1,c,1,The student is prompted to identify the graph of a given proportional relationship. ,1,The student is presented with a proportional relationship that is represented tabularly,Justin,,,,,,,
8.1.C.1.SR.1,8.1.C.1.SR.1.d,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,"C - Understand the connections between proportional relationships, lines, and linear equations",SR,1.SR,1,d,1,The student is prompted to identify the graph of a given proportional relationship. ,1,The student is presented with a proportional relationship that is represented verbally,Justin,,,,,,,
8.1.C.1.SR.1,8.1.C.1.SR.1.e,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,"C - Understand the connections between proportional relationships, lines, and linear equations",SR,1.SR,1,e,1,The student is prompted to identify the proportional relationship represented by a given graph,1,"The student is presented with a proportional relationship that may be represented in a variety of ways, including graphical, algebraic, tabular, and verbal",Justin,,,,,,,
8.1.C.1.SR.1,8.1.C.1.SR.1.f,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,"C - Understand the connections between proportional relationships, lines, and linear equations",SR,1.SR,1,f,1,The student is prompted to identify the proportional relationship represented by a given graph,1,The student is presented with a proportional relationship that is represented algebraically,Justin,,,,,,,
8.1.C.1.SR.1,8.1.C.1.SR.1.g,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,"C - Understand the connections between proportional relationships, lines, and linear equations",SR,1.SR,1,g,1,The student is prompted to identify the proportional relationship represented by a given graph,1,The student is presented with a proportional relationship that is represented tabularly,Justin,,,,,,,
8.1.C.1.SR.1,8.1.C.1.SR.1.h,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,"C - Understand the connections between proportional relationships, lines, and linear equations",SR,1.SR,1,h,1,The student is prompted to identify the proportional relationship represented by a given graph,1,The student is presented with a proportional relationship that is represented verbally,Justin,,,,,,,
8.1.C.1.TE.1,8.1.C.1.TE.1.,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,"C - Understand the connections between proportional relationships, lines, and linear equations",TE,1.TE,1,,1,The student is prompted to create the graph of a given proporitional relationship,1,"The student is presented with a proportional relationship that may be represented in a variety of ways, including algebraic, tabular and verbal. Interaction: The student uses a graphing tool to plot points and draw a line in the coordinate plane",,,,,,,,
8.1.C.2.CR.1,8.1.C.2.CR.1.,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,"C - Understand the connections between proportional relationships, lines, and linear equations",CR,2.CR,1,,1,The student is prompted to determine the unit rate from a graph of a proportional relationship,1,The student is presented with a graph of a proportional relationship,Justin,,,,,,,
8.1.C.2.SR.1,8.1.C.2.SR.1.a,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,"C - Understand the connections between proportional relationships, lines, and linear equations",SR,2.SR,1,a,1,The student is prompted to identify the unit rate from a graph of a proportional relationship.,1,The student is presented with a graph of a proportional relationship,Justin,,,,,,,
8.1.C.2.SR.1,8.1.C.2.SR.1.b,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,"C - Understand the connections between proportional relationships, lines, and linear equations",SR,2.SR,1,b,1,The student is prompted to identify the graph that shows a given unit rate,1,The student is presented with a graph of a proportional relationship,Justin,,,,,,,
8.1.C.2.SR.2,8.1.C.2.SR.2.a,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,"C - Understand the connections between proportional relationships, lines, and linear equations",SR,2.SR,2,a,1,The student is prompted to identify the unit rate from a graph of a proportional relationship. ,2,The student is presented with a unit rate,Justin,,,,,,,
8.1.C.2.SR.2,8.1.C.2.SR.2.b,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,"C - Understand the connections between proportional relationships, lines, and linear equations",SR,2.SR,2,b,1,The student is prompted to identify the graph that shows a given unit rate,2,The student is presented with a unit rate,Justin,,,,,,,
,8.1.C.2.TE.1.,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,"C - Understand the connections between proportional relationships, lines, and linear equations",TE,2.TE,1,,1,The student is prompted to create a graph that shows a given unit rate,1,The student is presented with a unit rate. Interaction: the student uses a grpahing tool to plot points and draw a line in the coordinate plane,,,,,,,,
8.1.C.3.SR.1,8.1.C.3.SR.1.,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,"C - Understand the connections between proportional relationships, lines, and linear equations",SR,3.SR,1,,1,The student is prompted to identify one or more correct comparisons between two different proportional relationships represented in different ways.,1,"The student is presented with two proportional relationships that may be represented in a variety of ways, including graphical, algebraic, tabular, and verbal. The proportional relationships must be different (not different representations of the same relationship) and involve different representations",Justin,,,,,,,
8.1.C.3.SR.2,8.1.C.3.SR.2.a,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,"C - Understand the connections between proportional relationships, lines, and linear equations",SR,3.SR,2,a,1,The student is prompted to identify one or more correct comparisons between two different proportional relationships represented in different ways.,2,The student is presented with a comparison of proportional relationships in addition to one proportional relationship that may be represented graphically,Justin,,,,,,,
8.1.C.3.SR.2,8.1.C.3.SR.2.b,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,"C - Understand the connections between proportional relationships, lines, and linear equations",SR,3.SR,2,b,1,The student is prompted to identify one or more correct comparisons between two different proportional relationships represented in different ways.,2,The student is presented with a comparison of proportional relationships in addition to one proportional relationship that may be represented algebraically,Justin,,,,,,,
8.1.C.3.SR.2,8.1.C.3.SR.2.c,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,"C - Understand the connections between proportional relationships, lines, and linear equations",SR,3.SR,2,c,1,The student is prompted to identify one or more correct comparisons between two different proportional relationships represented in different ways.,2,The student is presented with a comparison of proportional relationships in addition to one proportional relationship that may be represented tabularly,Justin,,,,,,,
8.1.C.3.SR.2,8.1.C.3.SR.2.d,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,"C - Understand the connections between proportional relationships, lines, and linear equations",SR,3.SR,2,d,1,The student is prompted to identify one or more correct comparisons between two different proportional relationships represented in different ways.,2,The student is presented with a comparison of proportional relationships in addition to one proportional relationship that may be represented verbally,Justin,,,,,,,
